,Open,High,Low,Close,Volume,Dividends,Stock Splits,CurrentRatio,DebtToEquity,ROI,Sentiment
2023-05-19,190.8699951171875,192.3800048828125,188.32000732421875,188.66000366210938,4222900.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-22,189.47000122070312,192.97000122070312,188.3000030517578,192.11000061035156,5910500.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-23,191.55999755859375,193.1999969482422,188.8300018310547,189.74000549316406,9648900.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-24,196.22999572753906,207.3800048828125,194.0800018310547,204.30999755859375,17036500.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-25,206.27000427246094,208.8699951171875,202.60000610351562,207.97999572753906,6143700.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-26,208.3699951171875,217.0500030517578,208.19000244140625,211.6999969482422,6405400.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-30,216.0,219.5,211.4199981689453,212.47999572753906,5585000.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-31,212.25,216.25999450683594,211.6300048828125,213.38999938964844,5589600.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-01,211.0,218.27999877929688,210.1199951171875,216.7899932861328,4421600.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-02,217.05999755859375,219.92999267578125,215.0500030517578,217.24000549316406,4648800.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-05,226.47000122070312,230.17999267578125,223.08999633789062,226.7899932861328,13772500.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-06,225.35000610351562,226.86000061035156,223.8300018310547,224.72000122070312,5401800.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-07,225.74000549316406,225.91000366210938,216.1699981689453,216.25,7175500.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-08,216.6199951171875,223.0399932861328,216.25,222.82000732421875,5031600.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-09,222.82000732421875,224.77999877929688,219.30999755859375,220.10000610351562,4969900.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-12,220.91000366210938,229.2899932861328,220.5500030517578,229.13999938964844,5424200.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-13,231.5,234.5,229.1999969482422,233.6300048828125,5957900.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-14,232.66000366210938,239.6300048828125,232.66000366210938,238.55999755859375,5658500.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-15,236.2100067138672,244.86000061035156,236.2100067138672,243.8000030517578,6482600.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-16,247.41000366210938,247.6999969482422,242.07000732421875,246.52999877929688,54813700.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-20,244.2100067138672,245.0500030517578,238.1699981689453,241.60000610351562,7910300.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-21,241.22000122070312,242.42999267578125,237.1999969482422,238.9199981689453,5316000.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-22,238.91000366210938,249.25999450683594,238.36000061035156,249.14999389648438,6490200.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-23,246.83999633789062,248.64999389648438,243.75,243.94000244140625,5667000.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-06-26,245.8300018310547,250.5500030517578,243.4199981689453,243.8000030517578,4656800.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
